"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","neglog10_adjP","direction","deg_class"
"GAL3ST1",-0.00894920992088214,5.40794767677994,-0.862357434189672,0.38864003291478,0.649956415762788,-6.23219820254272,0.187115764939217,"None","Not significant"
"KCNA4",0.0070424962580192,5.232415893403,0.862286807545307,0.388678873571546,0.649956415762788,-6.23225800555856,0.187115764939217,"None","Not significant"
"PEX11A",0.0271986144943266,6.95523376178057,0.862251144100053,0.388698487346782,0.649956415762788,-6.23228820167376,0.187115764939217,"None","Not significant"
"FAXC",0.0197242127141908,6.1541186851901,0.861978869423863,0.388848249753963,0.650133128809235,-6.23251869457543,0.186997703069179,"None","Not significant"
"KRT81",0.0842979267583233,6.84041244166204,0.86194305123374,0.388867953866618,0.650133128809235,-6.23254901089081,0.186997703069179,"None","Not significant"
"ANKRD53",0.00647867340382392,5.44165154373372,0.861751204875888,0.388973501723756,0.650256259852286,-6.2327113671532,0.186915458269007,"None","Not significant"
"SLC22A9",-0.00581947709837389,5.42803416030552,-0.861545572688291,0.38908665349328,0.650365001628412,-6.23288535003998,0.186842837660944,"None","Not significant"
"DCXR",0.0320171185223854,9.72954727464368,0.861517036273175,0.389102357609032,0.650365001628412,-6.23290949107555,0.186842837660944,"None","Not significant"
"NPY",-0.0213111350472871,5.44611643127014,-0.86137636626213,0.389179776555041,0.6504204136664,-6.23302848242818,0.186805836719727,"None","Not significant"
"RASGEF1A",-0.0071820848411968,5.23730287204026,-0.86129518353845,0.389224460432876,0.6504204136664,-6.23309714524753,0.186805836719727,"None","Not significant"
"RPL7",-0.0395994390585633,8.3523410585605,-0.861254465766417,0.389246873126158,0.6504204136664,-6.2331315811382,0.186805836719727,"None","Not significant"
"FLJ16126",-0.00637600088733559,5.21906272055097,-0.861183729615842,0.389285811006936,0.6504204136664,-6.23319140034734,0.186805836719727,"None","Not significant"
"GPATCH8",-0.00922282733791868,5.63347471785934,-0.86111535448088,0.389323451482754,0.6504204136664,-6.23324921825915,0.186805836719727,"None","Not significant"
"GPR89A",-0.0232296238028025,7.53177452354542,-0.861059794163592,0.389354039040646,0.6504204136664,-6.23329619660318,0.186805836719727,"None","Not significant"
"ORC5",-0.0162630171872385,8.60544920617496,-0.86098607702915,0.389394624709561,0.6504204136664,-6.23335852254717,0.186805836719727,"None","Not significant"
"FOXE1",0.00585898811057073,5.35056598331514,0.860981346516613,0.389397229226168,0.6504204136664,-6.23336252189203,0.186805836719727,"None","Not significant"
"PHF14",0.0221687630767446,7.45432557797295,0.860879993278009,0.389453034648615,0.6504204136664,-6.23344820427987,0.186805836719727,"None","Not significant"
"OR2M2",0.00553491005426746,5.36081602875065,0.860848468884429,0.389470393075144,0.6504204136664,-6.2334748524375,0.186805836719727,"None","Not significant"
"PPCS",-0.0356044507572522,8.48279687411123,-0.86081924596339,0.389486484651741,0.6504204136664,-6.23349955424696,0.186805836719727,"None","Not significant"
"CAPZB",-0.0197867211130362,6.81389302639439,-0.860611582330512,0.389600846115454,0.650475422887509,-6.23367506587601,0.186769107874074,"None","Not significant"
"USP44",-0.00670290893199571,5.30089474480651,-0.860546422105957,0.389636734410546,0.650475422887509,-6.23373012879885,0.186769107874074,"None","Not significant"
"TUBGCP6",0.0183792441543369,6.91097347250135,0.860546371536005,0.389636762263739,0.650475422887509,-6.23373017153079,0.186769107874074,"None","Not significant"
"OR8A1",0.00600758805282789,5.37658409764618,0.860527668925697,0.38964706347213,0.650475422887509,-6.23374597519338,0.186769107874074,"None","Not significant"
"TNF",-0.0231377371153098,6.08901408997752,-0.859885953572447,0.390000614238891,0.651012325684556,-6.23428801534142,0.186410788811049,"None","Not significant"
"LY6G6F",-0.00593034800907113,5.4150377179175,-0.859824482973601,0.39003449148868,0.651015566117804,-6.2343399167466,0.186408627102706,"None","Not significant"
"TAB2",-0.012102577025731,5.65931606193845,-0.859734252309061,0.390084222030072,0.651045264948667,-6.23441609439426,0.186388815373396,"None","Not significant"
"LINC01566",0.00660833943517828,5.54483895984298,0.859292317205697,0.390327849854934,0.651398544354714,-6.23478908476615,0.186153216264578,"None","Not significant"
"TDRD3",-0.0140055121646722,6.39175034060158,-0.859152486768354,0.390404954170885,0.651473885950678,-6.23490706085513,0.186102988109218,"None","Not significant"
"RAD23B",0.0189611130966462,8.07534332210076,0.858991335210584,0.390493826721153,0.651504751527994,-6.23504300196076,0.186082412560969,"None","Not significant"
"SARDH",-0.0104550286441737,5.57917051566473,-0.858886355243047,0.390551728141871,0.651504751527994,-6.23513154522337,0.186082412560969,"None","Not significant"
"ARID1B",0.0089151995139748,6.18745530068812,0.858837719736994,0.390578554695372,0.651504751527994,-6.2351725622082,0.186082412560969,"None","Not significant"
"SLC44A4",-0.0582632742967986,7.85812517714628,-0.858832413018632,0.390581481862661,0.651504751527994,-6.23517703751385,0.186082412560969,"None","Not significant"
"ARPC4",-0.0277843644454052,9.10350707533471,-0.858829206012558,0.390583250842463,0.651504751527994,-6.23517974205956,0.186082412560969,"None","Not significant"
"GAGE8",0.03396881696756,5.57103431457691,0.858706350537418,0.390651021409755,0.651527001788479,-6.23528334144834,0.186067580742288,"None","Not significant"
"PRSS42P",-0.00812096507202715,5.56708237061663,-0.858689146381007,0.390660512281608,0.651527001788479,-6.23529784788296,0.186067580742288,"None","Not significant"
"RGSL1",0.00667768770545975,5.43248942070099,0.858254285755844,0.390900454743683,0.651825080738035,-6.23566442316372,0.185868932891172,"None","Not significant"
"TPRG1L",0.0198960169362496,9.59501741730747,0.858246905358984,0.390904527788479,0.651825080738035,-6.23567064302999,0.185868932891172,"None","Not significant"
"CISD1",-0.0311505719202428,9.49572804831726,-0.858191383169608,0.390935169835821,0.651825080738035,-6.23571743291934,0.185868932891172,"None","Not significant"
"ARL8B",0.0201853408391046,8.72073383012518,0.858056559781187,0.391009583366586,0.651895833559161,-6.23583103925744,0.185821794643274,"None","Not significant"
"C22orf30",-0.00622178492263423,5.4071307676939,-0.857964480942457,0.391060409701419,0.651915643034456,-6.23590861747523,0.185808597726441,"None","Not significant"
"CALML3-AS1",-0.00787383963707348,5.26519290008803,-0.857893399239222,0.39109964863438,0.651915643034456,-6.2359684995086,0.185808597726441,"None","Not significant"
"OR10R3P",0.00645017484540287,5.45640239892811,0.85786123364795,0.391117405656679,0.651915643034456,-6.23599559544391,0.185808597726441,"None","Not significant"
"CCDC63",0.00651142641871258,5.4123553516448,0.857656967799364,0.39123018210483,0.652050303508049,-6.23616764303106,0.185718898603585,"None","Not significant"
"RALGPS1",0.0264909540979983,7.28404999487741,0.857294004822412,0.391430624984094,0.652327437613419,-6.23647325593353,0.185534354187154,"None","Not significant"
"SLC10A3",0.0125452823738304,8.31046645314829,0.857239983112943,0.391460463297766,0.652327437613419,-6.23651873087872,0.185534354187154,"None","Not significant"
"OR51V1",0.00639561105466293,5.31211082987626,0.857152562479695,0.391508752077862,0.652354578315123,-6.236592314646,0.185516285329236,"None","Not significant"
"SOX12",0.0149739320164539,5.90048387721903,0.857089260048667,0.391543720878263,0.652359521871957,-6.23664559294087,0.185512994248909,"None","Not significant"
"RPRM",0.0215412586659598,5.58007813676664,0.856986020611347,0.391600755291209,0.652401225613869,-6.23673247566089,0.185485231756777,"None","Not significant"
"IRAK4",-0.0117365017963742,6.18187942779516,-0.856895340856546,0.391650855297209,0.652431370861616,-6.23680877996466,0.185465164945463,"None","Not significant"
"ASB4",-0.00781822007783678,5.32941919917672,-0.856789833134376,0.391709152564797,0.652475165470942,-6.23689755140795,0.185436013804527,"None","Not significant"
"TP53AIP1",-0.010113004810607,5.61509147123214,-0.856620057576024,0.391802971466642,0.652578116949709,-6.23704037320951,0.185367493599525,"None","Not significant"
"KCNK9",-0.00650164765091325,5.38658029631917,-0.856267195506305,0.391998008635958,0.652849624676797,-6.23733712405632,0.18518684122696,"None","Not significant"
"CEACAM20",-0.00666862203692664,5.27264207337268,-0.855963805903002,0.392165748060338,0.653075628969038,-6.23759217177419,0.185036522642167,"None","Not significant"
