"split","model","theta","se","ci_lower","ci_upper"
"train","DR-Cox",-15.5492352632305,3.82433363024435,-23.0449291785095,-8.0535413479516
"train","DR-RSF",-15.5878324911123,3.73889448563551,-22.9160656829579,-8.25959929926667
"train","DR-GLMNET",-15.2817807416825,3.72998075994886,-22.5925430311823,-7.97101845218276
"val","DR-Cox",-18.3715838810158,8.09902399498913,-34.2456709111945,-2.49749685083707
"val","DR-RSF",-22.0313824109045,7.56815032397948,-36.8649570459042,-7.19780777590468
"val","DR-GLMNET",-19.5971390224869,7.93596140833068,-35.151623382815,-4.04265466215874
"test","DR-Cox",-6.56620764653803,8.16544614029094,-22.5704820815083,9.4380667884322
"test","DR-RSF",-5.51187801330591,7.73824351606224,-20.6788353047879,9.65507927817609
"test","DR-GLMNET",-3.9891274149103,7.76661548641654,-19.2116937682867,11.2334389384661
