"split","model","theta","se","ci_lower","ci_upper"
"all","DR-Cox",-13.2374124125494,3.17984841708066,-19.4699153100274,-7.00490951507126
"all","DR-RSF",-13.8828205187881,3.1138263780601,-19.9859202197859,-7.77972081779035
"all","DR-GLMNET",-12.6518986829442,3.11135424528072,-18.7501530036945,-6.55364436219404
