"model","mean_auc","sd_auc","mean_cindex","sd_cindex"
"DR-BART",0.970059227922455,0.00652119153780675,0.970059227922456,0.00652119153780686
"DR-GLMNET",0.950179903758757,0.0131215525675352,0.950179903758757,0.0131215525675352
"DR-RF",0.97156819769485,0.00970124516159818,0.97156819769485,0.00970124516159843
